occurrences,term
57,to say it
57,the next few
57,be the most
57,the person who
57,keep an eye
57,spreading the word
57,the next one
57,day at the
57,cake cake cake
57,it to me
57,follow back please
57,this morning and
57,the best in
57,make my day
57,middle of the
57,what that means
57,is so good
57,how is it
57,it if you
57,can do that
57,the other side
57,so if you
57,how to do
57,thing to do
57,to do some
57,we like to
57,love me some
57,to see all
57,for the heads
57,bout to go
57,to be your
57,was supposed to
57,try to get
56,and in the
56,out of bed
56,tell your friends
56,to have the
56,won let me
56,where did you
56,and go to
56,even if it
56,hope everyone has
56,going to take
56,but we re
56,in long time
56,hope you enjoyed
56,they are so
56,ll be the
56,you could be
56,join us at
56,to live in
56,at my house
56,the best part
56,can you follow
56,no idea how
56,not want to
56,have great time
56,to the world
56,is my new
56,may be the
56,would be nice
56,we re gonna
56,can tell you
56,happy valentine day
56,time for some
56,come on down
56,is at the
56,that sounds like
56,is all about
56,for letting me
56,friday the th
56,and can wait
56,to follow you
56,my last tweet
56,me to be
56,the idea of
56,is the one
55,just me or
55,not the same
55,it would make
55,if you follow
55,in los angeles
55,came out to
55,to help me
55,the life of
55,in less than
55,on the couch
55,on our way
55,the things you
55,why don you
55,at least it
55,all my friends
55,to get ready
55,see you tomorrow
55,next time you
55,don feel like
55,happy to have
55,you re looking
55,at least one
55,things to do
55,time to start
55,there are some
55,you want it
55,would have to
55,to do what
55,what happens when
55,the best day
55,do you guys
55,you for being
55,they want to
55,out at the
55,people need to
55,to the show
55,some sort of
55,to be like
55,because you re
55,day to be
55,and they are
55,and you can
55,you do it
55,hope everyone is
55,any of the
55,want it to
55,you already know
55,should have been
55,at the door
55,have you tried
55,the sun is
55,can think of
55,to sign up
55,you you re
55,down the street
55,to stop by
55,my mom and
55,mean the world
55,to give me
55,think it was
54,are you at
54,up this morning
54,wish could be
54,sorry about that
54,much better than
54,you coming to
54,will let you
54,make me feel
54,sounds like you
54,will be great
54,but have to
54,this is crazy
54,figure it out
54,take advantage of
54,it was really
54,can believe it
54,go for it
54,new york city
54,the most beautiful
54,on the ground
54,there are so
54,thank you you
54,to each other
54,some of our
54,have an awesome
54,cannot wait to
54,the future of
54,knows how to
54,how many people
54,it not even
54,you like the
54,you ready for
54,here at the
54,need to take
54,out of me
54,ll give you
53,you enjoyed it
53,more than you
53,not being able
53,to meet up
53,should not be
53,time for me
53,see you again
53,for all you
53,are you still
53,and you are
53,at the bar
53,re trying to
53,it at the
53,don have any
53,be there for
53,the united states
53,st patrick day
53,going to start
53,lucky to have
53,love you more
53,the first one
53,you get your
53,is part of
53,you re too
53,working on it
53,well at least
53,love to be
53,the right to
53,to your tweets
53,to all our
53,if it is
53,rest of my
53,on my face
53,with my mom
52,you know if
52,the person you
52,it is to
52,in the sky
52,in the area
52,big thanks to
52,so good to
52,told me to
52,at in the
52,is that you
52,you guys have
52,at the game
52,stop by the
52,you love me
52,and they re
52,anyone want to
52,you tell me
52,to be over
52,hope everyone had
52,thanks to and
52,we re still
52,the death of
52,rt thank you
52,want to meet
52,no one can
52,tell me you
52,needs to get
52,got to see
52,working on my
52,we can be
52,hang in there
52,to be more
52,do it again
52,you will never
52,bout to get
52,such thing as
52,fan of the
52,what we do
52,time at the
52,due to the
52,time to make
52,are trying to
52,this is gonna
51,say hi to
51,could be the
51,in the works
51,day of school
51,to connect with
51,birthday to the
51,when you need
51,day at work
51,had to be
51,looking at the
51,even if you
51,as bad as
51,as far as
51,day of my
51,rest of your
51,lot of fun
51,take me to
51,to see in
51,for the th
51,will be missed
51,all the best
51,you up to
51,forward to hearing
51,signed up for
51,they re all
51,will see you
51,may not be
51,it in my
51,you when you
51,you will have
51,those who are
51,so far so
51,give up on
51,be interested in
51,you re at
51,should follow me
51,you feel like
51,would make my
51,in life is
51,on right now
51,in the am
51,just got off
51,you are too
51,to go with
51,know how it
51,in the league
51,can we get
51,have to make
51,ve never seen
51,catch up on
50,you feel better
50,is killing me
50,the smell of
50,just got the
50,you love it
50,forward to meeting
50,is making me
50,front of me
50,thank you it
50,for the past
50,are about to
50,we will see
50,be good day
50,you talking about
50,keep up with
50,to see and
50,on the beach
50,back to back
50,come in and
50,why thank you
50,to the beach
50,you ll see
50,me how to
50,really looking forward
50,you can go
50,you hope you
50,follow you back
50,who else is
50,member of the
50,about to start
50,ralph waldo emerson
50,more important than
50,should be fun
50,tell me how
50,and check out
50,that can be
50,today at the
50,in touch with
50,to do in
50,good luck on
50,ha ha ha
50,the hell is
50,to go get
50,can wait til
50,was great to
50,to get into
50,on this day
50,of those days
50,told me that
49,if you had
49,time of year
49,in the way
49,you can help
49,so you re
49,us if you
49,in real life
49,ll take it
49,don think it
