occurrences,term
92,three months
92,back of
92,who said
92,he never
92,social security
92,down on
92,to reduce
92,of fame
92,in los
91,him as
91,get out
91,someone who
91,joined the
91,found the
91,put it
91,picked up
91,be at
91,to you
91,help the
91,authorities said
91,good for
91,students and
91,was that
91,of last
91,weeks ago
91,that some
91,far as
91,team in
91,after all
91,to in
91,an all
91,the move
91,how he
91,also is
91,to increase
91,win over
91,range of
90,to address
90,in many
90,the moment
90,was charged
90,you will
90,third quarter
90,games in
90,his second
90,full time
90,week and
90,also be
90,waiting for
90,the store
90,onto the
90,about minutes
90,but his
90,the ability
90,all about
90,for most
90,pleaded guilty
90,lived in
90,the chance
90,tend to
90,police officer
90,had not
90,as his
90,living in
90,advantage of
90,know if
90,but at
90,as for
89,the portland
89,aware of
89,since he
89,the supreme
89,and think
89,of work
89,people have
89,the boy
89,to hit
89,schools and
89,ended up
89,the lakers
89,head coach
89,they need
89,with our
89,year he
89,both sides
89,came from
89,at some
89,talked about
89,oil and
89,to expand
89,set to
89,doesn have
89,tuesday night
89,she would
89,he won
89,point of
89,to prevent
89,running back
89,her family
89,the girl
89,also the
88,was good
88,late in
88,to happen
88,the recent
88,the timbers
88,the administration
88,did the
88,the children
88,it very
88,of percent
88,and of
88,it did
88,closer to
88,play the
88,the broncos
88,work for
88,to billion
88,the guy
88,told him
88,too many
88,and local
88,on our
88,in south
88,and be
88,to your
88,every year
88,every time
88,see if
87,add the
87,the truth
87,the goal
87,people were
87,when asked
87,each year
87,though it
87,more to
87,added that
87,it seems
87,in another
87,important to
87,now is
87,or other
87,found in
87,gov chris
87,unable to
87,we just
87,the neighborhood
87,continued to
87,dealing with
87,death of
87,my life
87,in public
87,to join
87,used in
87,one point
86,began to
86,the seventh
86,respond to
86,the size
86,jobs and
86,per game
86,making it
86,the proposal
86,were going
86,he not
86,to speak
86,in as
86,the green
86,th street
86,didn know
86,of money
86,how they
86,support the
86,appeared to
86,the bay
85,cleveland ohio
85,year but
85,that many
85,was named
85,company said
85,for instance
85,that and
85,police officers
85,scheduled for
85,that of
85,off to
85,though he
85,city hall
85,to believe
85,was still
85,family members
85,who also
85,the small
85,the need
85,we got
85,or so
85,it he
85,of high
85,put on
85,to discuss
85,and would
85,left in
84,take on
84,at st
84,of health
84,in law
84,in four
84,we get
84,the washington
84,his campaign
84,that people
84,for now
84,two days
84,to us
84,that makes
84,and go
84,than years
84,several years
84,he just
84,the heat
84,she also
84,or even
84,so called
84,monday night
84,the obama
84,the opening
84,the international
84,with them
84,just about
84,to fill
84,the word
84,following the
83,to attend
83,sent to
83,has an
83,times in
83,you and
83,with other
83,for people
83,all three
83,come back
83,states and
83,in time
83,or in
83,water and
83,past two
83,because she
83,to visit
83,are at
83,and percent
83,the majority
83,will come
83,related to
83,not yet
83,some people
83,see it
83,next month
83,las vegas
83,two games
83,for your
83,bottom of
83,can help
83,the commission
83,year of
83,portion of
83,is this
83,both of
83,would make
83,has also
83,two months
82,he went
82,used the
82,of whom
82,planned to
82,ve had
82,officials say
82,money and
82,at about
82,of san
82,here is
82,health insurance
82,on may
82,as to
82,no more
82,the audience
82,first place
82,the class
82,runs in
82,six years
82,which are
82,the potential
82,the remaining
82,said thursday
82,will do
82,show that
82,start the
82,same sex
82,in chicago
82,didn want
82,center and
82,the museum
82,without the
82,an old
82,street and
82,find out
82,for another
82,stay in
81,not as
81,the matter
81,that day
81,no doubt
81,for each
81,have some
81,down in
81,police and
81,an additional
81,was like
81,an open
81,not that
81,are just
81,and do
81,the band
81,the side
81,once the
81,about her
81,is there
81,value of
81,than percent
81,now we
81,should not
81,called for
81,th century
81,the reason
80,year with
80,day after
80,in federal
80,to follow
80,make up
80,on march
80,and white
80,counts of
80,corner of
80,once again
80,serve as
80,be made
80,even as
80,to accept
80,elementary school
80,think he
80,he wasn
80,at first
80,seven years
80,all but
80,the election
80,task force
80,comment on
80,and see
80,and state
80,to write
80,last summer
80,and don
80,for any
80,you see
80,looking to
80,we should
80,week the
80,line of
80,the yankees
80,north of
80,to pick
80,their way
80,to wait
79,result in
79,time that
79,said as
79,similar to
79,san jose
79,if not
79,it still
79,she and
79,into an
79,if that
79,possession of
79,over to
79,get in
79,matter of
79,oregon state
79,can see
79,of things
79,is something
79,that their
79,happened to
79,to deal
79,as good
79,at their
79,work to
79,before they
79,that means
79,asked the
79,in each
79,people with
79,attention to
79,are all
79,in downtown
79,where she
79,wrote in
79,been on
79,and made
79,state law
79,and after
79,available to
79,the difference
79,room and
79,met with
78,the kings
78,whether it
78,the times
78,listen to
78,concerned about
78,the result
78,do what
78,the body
78,quality of
78,but to
78,the face
78,the annual
78,relationship with
78,taken to
78,end up
78,than any
78,me that
78,the young
78,school of
78,the plate
78,they get
78,just to
78,louis county
78,become the
78,because we
78,the morning
78,be very
78,set of
78,is as
78,to police
78,set the
78,see what
78,house in
78,to replace
78,always been
78,in small
78,other states
78,believe the
78,ll have
78,the vehicle
78,also was
77,in town
77,officials have
77,to drive
77,to people
77,the all
77,to figure
77,that why
77,education and
77,to state
77,in those
77,didn have
77,at it
77,for three
77,the play
77,issue of
77,men and
77,was more
77,participate in
77,to three
77,also have
77,reason to
77,with new
77,public schools
77,look like
77,major league
77,kinds of
77,on for
76,school districts
76,it so
76,in these
76,can also
76,chris christie
76,there have
76,thing to
76,find the
76,see how
76,struck out
76,he been
76,economic development
76,that might
76,years later
76,be part
76,handful of
76,you may
76,think they
76,and went
76,bin laden
76,do this
76,south of
76,take place
76,the answer
76,days after
76,size of
76,since then
76,gave up
76,or to
76,the arizona
76,the foot
76,pretty much
75,board members
75,to understand
75,the california
75,but said
75,you just
75,him for
75,in high
75,the study
75,of five
75,in in
75,we didn
75,the sale
75,the risk
75,public health
75,call the
75,run in
75,the title
75,of business
75,he knew
75,and who
75,lot more
75,makes the
75,county and
75,move to
75,to fight
75,mix of
75,so you
75,year after
75,will likely
75,end the
75,adding that
