occurrences,term
211,deal with
211,type of
211,don need
211,the radio
211,on monday
211,at www
211,appreciate it
211,friends and
211,the video
211,my son
210,it seems
210,never been
210,the things
210,much as
210,hang out
210,want you
209,not good
209,justin bieber
209,of work
209,might have
209,so so
209,no longer
208,very much
208,like me
208,it still
208,first day
208,of new
207,know why
207,will make
207,just for
207,as hell
207,you better
206,nothing like
206,and was
206,the power
206,be happy
206,now you
206,and thanks
206,from your
206,to him
206,for dinner
206,if there
206,hunger games
205,find it
205,the back
205,home and
205,the bus
205,good one
205,to pick
205,always be
205,for another
205,to visit
204,you might
204,and his
204,us for
204,are your
204,in there
204,merry christmas
204,it back
204,on in
204,if only
204,what he
204,time is
204,sign up
203,can even
203,with her
203,and some
203,and still
202,much love
202,take care
202,on and
202,an email
202,the phone
202,but will
202,do to
202,have one
202,the lord
201,be with
201,that song
201,care about
201,haven been
201,my face
201,good time
201,sounds good
201,really need
201,oh no
201,love how
201,think he
201,be more
201,set up
201,we hope
200,under the
200,put on
200,someone to
200,hope the
200,some good
200,for him
200,found out
200,it takes
200,to her
200,this saturday
200,wanna be
199,give it
199,rt it
199,at our
199,time you
199,us on
199,don let
198,in all
198,only thing
198,game is
198,from pm
198,you up
197,it feels
197,more of
197,know where
197,and got
197,it as
197,to send
197,go see
197,appreciate the
197,day today
196,to support
196,the link
196,in town
196,thought you
196,some new
196,episode of
196,twitter and
196,in class
196,is up
195,it should
195,was an
195,was awesome
195,now we
195,on her
195,and how
195,that sounds
195,one direction
195,for good
195,there will
195,haven seen
194,never be
194,follow my
194,is out
194,are still
194,to listen
194,few days
194,than you
194,same here
193,said it
193,ll take
193,my wife
193,that in
193,who can
193,the avengers
193,but think
193,the support
193,me with
193,didn get
193,be fun
193,based on
193,what time
193,the name
192,the perfect
192,just in
192,and is
192,meeting you
192,you soon
192,the air
192,and let
192,what that
192,until the
192,soon as
191,but its
191,can stop
191,for real
191,by and
191,follow and
191,twitter is
191,want it
191,days of
191,you it
191,he said
191,hear that
191,thing to
191,your way
191,you find
190,you my
190,me your
190,the shout
190,when is
190,the shit
190,win the
190,ll never
190,and happy
190,what happens
190,day with
190,more to
190,this afternoon
190,wish had
190,my god
190,wrong with
190,hope your
190,is well
190,on fb
190,the family
189,really like
189,is doing
189,of school
189,all in
189,over and
189,for one
189,you wanna
189,and say
189,is only
189,say hi
189,is here
189,in time
188,pretty much
188,all have
188,was it
188,here for
188,read the
188,be your
188,gotta love
188,looking to
188,according to
188,am in
188,to one
188,this season
188,rt just
188,sorry to
188,one who
188,super bowl
187,is he
187,anyone know
187,them in
187,time at
187,gave me
187,your support
187,it gonna
